city_id,ward_id,ward_number,ward_name,zone_name,locality_name,place_type,osm_type,osm_id,lat,lng,source_name,source_url,is_verified,notes
chennai,ward-058,58,Ward 58,Zone Royapuram,CMWSSB Division 58,neighbourhood,way,964273494,13.0843165,80.2645535,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273494,false,
chennai,ward-058,58,Ward 58,Zone Royapuram,CMWSSB Division 78,neighbourhood,way,964273474,13.0901930,80.2616475,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273474,false,
chennai,ward-058,58,Ward 58,Zone Royapuram,Doveton,neighbourhood,node,333218841,13.0873218,80.2580790,OpenStreetMap Overpass,https://www.openstreetmap.org/node/333218841,false,
chennai,ward-058,58,Ward 58,Zone Royapuram,Mahaveer Colony,neighbourhood,node,355982191,13.0829169,80.2615578,OpenStreetMap Overpass,https://www.openstreetmap.org/node/355982191,false,
chennai,ward-058,58,Ward 58,Zone Royapuram,Park Town,suburb,node,254150702,13.0863491,80.2727321,OpenStreetMap Overpass,https://www.openstreetmap.org/node/254150702,false,
chennai,ward-058,58,Ward 58,Zone Royapuram,Periamet,neighbourhood,node,311286870,13.0844145,80.2692766,OpenStreetMap Overpass,https://www.openstreetmap.org/node/311286870,false,
chennai,ward-058,58,Ward 58,Zone Royapuram,Vepery,suburb,node,290352312,13.0842952,80.2622738,OpenStreetMap Overpass,https://www.openstreetmap.org/node/290352312,false,
chennai,ward-059,59,Ward 59,Zone Royapuram,CMWSSB Division 59,neighbourhood,way,964273493,13.0776925,80.2778575,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273493,false,
chennai,ward-059,59,Ward 59,Zone Royapuram,Evening Bazaar,neighbourhood,node,303284338,13.0849322,80.2787202,OpenStreetMap Overpass,https://www.openstreetmap.org/node/303284338,false,
chennai,ward-059,59,Ward 59,Zone Royapuram,Government Estate,neighbourhood,node,11039921594,13.0673606,80.2767992,OpenStreetMap Overpass,https://www.openstreetmap.org/node/11039921594,false,
chennai,ward-059,59,Ward 59,Zone Royapuram,Sowcarpet,neighbourhood,node,248560768,13.0884967,80.2783092,OpenStreetMap Overpass,https://www.openstreetmap.org/node/248560768,false,
chennai,ward-060,60,Ward 60,Zone Royapuram,CMWSSB Division 60,neighbourhood,way,964273492,13.0844130,80.2891490,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273492,false,
chennai,ward-060,60,Ward 60,Zone Royapuram,Island Grounds,suburb,node,247689931,13.0742005,80.2793622,OpenStreetMap Overpass,https://www.openstreetmap.org/node/247689931,false,
chennai,ward-061,61,Ward 61,Zone Royapuram,CMWSSB Division 61,neighbourhood,way,964273491,13.0709780,80.2582985,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273491,false,
chennai,ward-061,61,Ward 61,Zone Royapuram,Egmore,suburb,node,247689846,13.0728321,80.2576906,OpenStreetMap Overpass,https://www.openstreetmap.org/node/247689846,false,
chennai,ward-062,62,Ward 62,Zone Royapuram,Chintadripet,suburb,node,319176353,13.0761258,80.2707810,OpenStreetMap Overpass,https://www.openstreetmap.org/node/319176353,false,
chennai,ward-062,62,Ward 62,Zone Royapuram,CMWSSB Division 62,neighbourhood,relation,15260010,13.0744500,80.2702430,OpenStreetMap Overpass,https://www.openstreetmap.org/relation/15260010,false,
chennai,ward-063,63,Ward 63,Zone Royapuram,CMWSSB Division 63,neighbourhood,relation,15260009,13.0673480,80.2661115,OpenStreetMap Overpass,https://www.openstreetmap.org/relation/15260009,false,
chennai,ward-063,63,Ward 63,Zone Royapuram,Pudupet,neighbourhood,node,247689838,13.0712018,80.2669603,OpenStreetMap Overpass,https://www.openstreetmap.org/node/247689838,false,
chennai,ward-064,64,Ward 64,Zone Thiru-vi-ka-nagar,CMWSSB Division 64,neighbourhood,way,964273488,13.1238360,80.2159200,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273488,false,
chennai,ward-064,64,Ward 64,Zone Thiru-vi-ka-nagar,CMWSSB Division 65,neighbourhood,way,964273487,13.1203400,80.2107520,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273487,false,
chennai,ward-065,65,Ward 65,Zone Thiru-vi-ka-nagar,Kolathur,suburb,node,402342603,13.1241127,80.2046276,OpenStreetMap Overpass,https://www.openstreetmap.org/node/402342603,false,
chennai,ward-065,65,Ward 65,Zone Thiru-vi-ka-nagar,Villivakkam,suburb,node,248559761,13.1125875,80.2081378,OpenStreetMap Overpass,https://www.openstreetmap.org/node/248559761,false,
chennai,ward-066,66,Ward 66,Zone Thiru-vi-ka-nagar,CMWSSB Division 66,neighbourhood,way,964273486,13.1184800,80.2261570,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273486,false,
chennai,ward-066,66,Ward 66,Zone Thiru-vi-ka-nagar,CMWSSB Division 67,neighbourhood,way,964273485,13.1121700,80.2258080,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273485,false,
chennai,ward-066,66,Ward 66,Zone Thiru-vi-ka-nagar,Periyar Nagar,suburb,node,293712223,13.1151671,80.2236660,OpenStreetMap Overpass,https://www.openstreetmap.org/node/293712223,false,
chennai,ward-068,68,Ward 68,Zone Thiru-vi-ka-nagar,CMWSSB Division 68,neighbourhood,way,964273484,13.1194005,80.2371625,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273484,false,
chennai,ward-069,69,Ward 69,Zone Thiru-vi-ka-nagar,CMWSSB Division 69,neighbourhood,way,964273483,13.1125765,80.2408530,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273483,false,
